Campaign,Year,Season,Date,Observer,site,Habitat,Transect,Substrate,proportion
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,2,Pavement,0.42
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Millepora,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Pocillopora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Porites,0.1
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Turbinaria,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Rubble,0.46
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Sand,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Barrier reef,3,Pavement,0.28
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,1,Porites,0.0833
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,1,Rubble,0.4167
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,1,Sand,0.2292
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,1,Pavement,0.2708
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,2,Porites,0.1633
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,2,Rubble,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,2,Sand,0.7959
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,2,Pavement,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Millepora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Pocillopora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Porites,0.28
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Turbinaria,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Rubble,0.2
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Fringing reef,3,Pavement,0.42
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Acropora,0.08
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Astreopora,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Pocillopora,0.18
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Porites,0.14
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Psammocora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Rubble,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Sand,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,1,Pavement,0.44
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Acropora,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Leptastrea,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Pavona,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Pocillopora,0.24
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Porites,0.26
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Halimeda,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Rubble,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Sand,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,2,Pavement,0.3
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Acropora,0.0408
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Astreopora,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Millepora,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Montipora,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Pocillopora,0.2653
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Porites,0.2245
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Rubble,0.2
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Sand,0.0204
1,2004,Oct,28/7/2004,Caroline Vieux,Aroa,Outer slope,3,Pavement,0.1837
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Montipora,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Porites,0.26
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Padina,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Turbinaria,0.12
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Rubble,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Sand,0.34
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,1,Pavement,0.14
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,2,Montipora,0.1
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,2,Porites,0.28
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,2,Rubble,0.08
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,2,Sand,0.32
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,2,Pavement,0.22
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Montipora,0.1
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Pavona,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Porites,0.26
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Rubble,0.18
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Sand,0.2
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Barrier reef,3,Pavement,0.24
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,1,Porites,0.4
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,1,Macroalgae,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,1,Rubble,0.1
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,1,Sand,0.26
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,1,Pavement,0.22
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,2,Porites,0.2449
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,2,Rubble,0.0612
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,2,Sand,0.4694
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,2,Pavement,0.2245
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Porites,0.5
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Halimeda,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Turbinaria,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Rubble,0.3
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Sand,0.08
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Other,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Fringing reef,3,Pavement,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Acropora,0.14
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Astreopora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Montipora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Pavona,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Pocillopora,0.2
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Porites,0.24
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Macroalgae,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Rubble,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Sand,0.04
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,1,Pavement,0.22
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Acropora,0.22
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Herpolitha,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Montipora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Pavona,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Pocillopora,0.14
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Porites,0.28
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,2,Pavement,0.3
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Acropora,0.22
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Fungia,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Millepora,0.02
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Montipora,0.06
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Pocillopora,0.18
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Porites,0.12
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Rubble,0.08
1,2004,Oct,28/7/2004,Caroline Vieux,Entre 2 baies,Outer slope,3,Pavement,0.3
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Montipora,0.4
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Porites,0.08
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Dead coral,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Halimeda,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Rubble,0.06
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Sand,0.12
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,1,Pavement,0.3
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Montipora,0.082
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Porites,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Dead coral,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Rubble,0.224
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Sand,0.469
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,2,Pavement,0.184
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Fungia,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Leptastrea,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Montipora,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Porites,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Rubble,0.24
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Sand,0.54
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Barrier reef,3,Pavement,0.14
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Montipora,0.0612
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Macroalgae,0.1837
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Dictyota,0.0204
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Halimeda,0.0408
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Turbinaria,0.0408
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Rubble,0.2041
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Sand,0.2245
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,1,Pavement,0.2245
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Acropora,0.14
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Montipora,0.06
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Macroalgae,0.04
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Halimeda,0.04
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Turbinaria,0.04
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Rubble,0.22
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Sand,0.3
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,2,Pavement,0.16
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Montipora,0.1
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Pavona,0.02
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Pocillopora,0.02
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Dictyota,0.02
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Halimeda,0.08
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Turbinaria,0.16
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Rubble,0.38
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Sand,0.1
1,2004,Oct,2/8/2004,Caroline Vieux,Gendron,Fringing reef,3,Pavement,0.12
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Acropora,0.08
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Pavona,0.06
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Pocillopora,0.1
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Porites,0.1
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Rubble,0.08
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,1,Pavement,0.58
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Acropora,0.1
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Pavona,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Pocillopora,0.34
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Porites,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Rubble,0.12
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Sand,0.02
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,2,Pavement,0.38
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Acropora,0.06
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Pocillopora,0.22
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Porites,0.04
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Rubble,0.22
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Sand,0.06
1,2004,Oct,31/7/2004,Yannick Chancerelle,Gendron,Outer slope,3,Pavement,0.4
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Millepora,0.0204
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Montipora,0.0816
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Pocillopora,0.1429
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Porites,0.102
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Rubble,0.4694
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,1,Pavement,0.1837
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Montipora,0.12
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Pocillopora,0.06
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Porites,0.26
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Rubble,0.24
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Sand,0.14
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,2,Pavement,0.18
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Montipora,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Pavona,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Pocillopora,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Porites,0.1
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Rubble,0.2
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Sand,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Other,0.04
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Barrier reef,3,Pavement,0.58
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,1,Montipora,0.12
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,1,Rubble,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,1,Sand,0.72
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,1,Pavement,0.14
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,2,Montipora,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,2,Rubble,0.06
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,2,Sand,0.92
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,3,Montipora,0.04
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,3,Porites,0.04
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,3,Macroalgae,0.06
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,3,Sand,0.74
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Fringing reef,3,Pavement,0.12
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Acropora,0.04
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Montipora,0.06
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Pavona,0.04
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Pocillopora,0.18
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Porites,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Rubble,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,1,Pavement,0.64
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,2,Acropora,0.08
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,2,Astreopora,0.02
1,2004,Oct,30/7/2004,Caroline Vieux,Haapiti,Outer slope,2,Leptastrea,0.02
